Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Liberal,C:Trumpet of Patriots,D:Legalise Cannabis Party,E:Animal Justice Party,F:The Greens,G:Jacqui Lambie Network,H:Libertarian,I:Pauline Hanson's One Nation,J:Citizens Party,K:Australian Labor Party,"L:Shooters, Fishers and Farmers Party",A:BILIC Dennis,A:RICHARDSON Pierre,B:CHANDLER Claire,B:COLBECK Richard Mansell,B:MARTIN Jacki,C:MOORE Wayne Leslie,C:KELLY Matt,C:SMITH Greg,D:OWEN Matt,D:HESTER Gail,E:DAVIES Casey,E:LUCAS Kate Elizabeth,F:McKIM Nick,F:BLEYER Vanessa,F:JORDAN Scott,F:HOARE Trenton,G:LAMBIE Jacqui,G:HANNAN Christine,H:ABRAHAM Chrysten,H:ARMSTRONG Nicole,I:HANSON Lee,I:DUNN James,J:STAGGARD Daryl,J:WILLIAMS Ray,K:BROWN Carol,K:DOWLING Richard,K:FALLS Bailey,K:O'DONNELL Saxon,K:LUCKMAN Greg,K:MEYERS Amelia Louise,L:BIGG Phillip,L:ROACH Melanie,UG:EDWARDS Fenella
1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,8,,,1,2,,,,,,,3,6,5,,,4,,,
1,3,,4,6,1,,3,,,,,5,2,,,,,,12,,,1,6,11,,2,7,,,10,,9,,8,,,,,,,,,,3,5,4
1,4,,,,6,,5,4,3,,,1,2,,,,10,,,2,9,1,,3,,,5,,,,4,6,,,7,8,,,,,11,,,12,,
1,5,,,,,,,,,,,,,,12,,,,,,,1,2,10,11,,,,,3,4,,,5,6,7,8,,,,,,,,,9
1,6,12,4,11,1,10,2,8,9,3,7,6,5,,,,,,,,,1,2,11,12,7,8,9,10,5,6,,,3,4,,,,,,,,,,,
1,7,10,8,12,2,5,11,1,9,6,7,3,4,23,25,4,26,24,29,22,27,3,18,17,19,28,20,30,21,1,2,14,9,5,15,8,16,10,33,32,12,31,7,13,6,11
1,8,,,,,,,,,,,,,,,12,,,,,,8,9,10,11,,,,,1,2,6,7,,,,,,,,,,,4,5,3
1,9,,,,,,,,,,,,,,,10,11,12,3,4,5,,,,,,,,,1,2,,,8,9,,,,,,,,,6,7,
1,10,2,3,4,5,6,,,,,,1,,,,,,,,,,10,11,12,9,7,8,,,1,5,2,6,3,4,,,,,,,,,,,
1,11,,,,,,,,,,,,,,,13,14,15,10,11,12,9,7,8,6,,,,,,,,,1,2,16,17,,,,,,,5,4,3
1,12,,,,,,,,,,,,,18,19,,,,20,21,22,9,10,8,7,3,4,5,6,11,12,13,14,,,1,2,,,,,,,15,16,17
1,13,4,6,2,5,8,9,12,3,7,1,11,10,10,11,,,,3,4,5,6,7,,,,,,,,,8,9,12,13,1,2,,,,,,,,,
1,14,,,,,,,,,,,,,,,5,,6,10,,,,,4,3,,,,,,,11,,,,,,2,9,7,,8,1,,,12
1,15,,,,,,,,,,,,,,,,,,,,,,,13,14,9,10,11,12,7,8,,,,,,,1,2,3,4,5,6,,,
1,16,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,10,11,,,,,,,1,2,3,4,5,6,7,8,9
1,17,3,,,6,,,,4,5,,1,2,,,,,,,,,11,12,,,,,,,,,,,9,10,,,1,2,3,4,5,6,7,8,
1,18,4,,,3,5,6,2,,,,1,,8,9,,,,,,,6,7,4,5,,,,,10,11,,,,,12,,1,2,3,,,,,,
1,19,,,,,,,,,,,,,,,2,8,1,,,12,3,9,,,,,,,4,11,,,5,10,,,,,,,,,6,7,
1,20,,,,,,,,,,,,,,,2,1,3,,9,,,,,,,,,11,6,7,,8,,10,,,,12,,5,4,,,,
1,21,,,,,,,,,,,,,15,16,1,3,2,6,7,8,13,14,21,22,30,31,32,33,9,10,11,12,17,18,19,20,23,24,25,26,27,28,4,5,29
1,22,,,,,,,,,,,,,,,3,1,2,,,,,,,,10,,,,11,,,12,,,,,5,4,7,6,8,9,,,
1,23,,,,,,,,,,,,,10,11,,1,,12,,,8,9,,,,,,,2,7,,,3,,,,,,,,,,4,5,6
1,24,6,1,4,,,,3,,,5,2,,,,1,2,3,12,13,14,,,,,,,,,10,11,,,,,,,5,4,6,7,8,9,,,
1,25,,,,,,,,,,,,,28,29,3,2,1,6,7,8,26,27,24,25,33,32,31,30,4,5,22,23,9,10,20,21,14,15,16,17,18,19,12,13,11
1,26,,,,,,,,,,,,,27,28,3,1,2,25,29,26,22,24,21,23,30,31,32,33,10,11,15,20,16,17,18,19,5,4,6,7,8,9,12,13,14
1,27,,,,,,,,,,,,,26,27,1,2,3,4,5,6,24,25,28,29,32,31,33,30,7,8,22,23,9,10,20,21,11,12,13,14,15,16,17,18,19
1,28,,,,,,,,,,,,,6,7,,,,1,2,3,4,5,,,,,,,,,,,,,11,12,,,,,,,8,9,10
1,29,6,,2,5,,,3,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,,,,6,5,4,3,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,,5,3,,,,6,2,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,,2,,,,5,4,,1,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,10,9,3,,7,6,2,,1,8,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,6,2,4,,,,,5,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,,7,6,5,,,1,,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,10,2,12,9,8,11,1,7,4,6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,,,,2,6,,1,,4,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,38,,5,3,,,,1,,2,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
