Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:David Pocock,C:Animal Justice Party,D:Australian Labor Party,E:Liberal,F:HEART/LIBERTARIAN,G:Australian Greens,A:HOLGATE James,A:HAYDON John,B:POCOCK David,B:VARDY Hannah,C:SOXSMITH Robyn,C:KUDRYCZ Walter,D:GALLAGHER Katy,D:OH Janaline,E:VADAKKEDATHU Jacob,E:LEE Hayune,F:SEARSON-PRAKAASH Elise,F:BROWN Martin,G:HOBBS Christina,G:ROCKE Jo
1,1,5,6,3,1,2,4,7,,,,,,,,,,,,,,
1,2,4,5,3,1,6,,2,,,,,,,,,,,,,,
1,3,5,2,4,1,6,,3,,,,,,,,,,,,,,
1,4,4,2,5,1,7,6,3,,,,,,,,,,,,,,
1,5,7,6,5,1,2,3,4,,,,,,,,,,,,,,
1,6,4,2,5,1,6,,3,,,,,,,,,,,,,,
1,7,4,3,5,1,7,6,2,,,,,,,,,,,,,,
1,8,4,2,5,1,,6,3,,,,,,,,,,,,,,
1,9,6,2,,1,3,5,4,,,,,,,,,,,,,,
1,10,,4,3,1,6,5,2,,,,,,,,,,,,,,
1,11,6,4,5,1,3,7,2,,,,,,,,,,,,,,
1,12,,2,,1,,,3,,,,,,,,,,,,,,
1,13,5,4,3,1,6,,2,,,,,,,,,,,,,,
1,14,4,5,,1,2,6,3,,,,,,,,,,,,,,
1,15,7,3,4,1,6,5,2,,,,,,,,,,,,,,
1,18,3,1,5,4,6,7,2,,,,,,,,,,,,,,
1,19,,1,,,,,,,,,,,,,,,,,,,
1,20,4,1,5,2,7,6,3,,,,,,,,,,,,,,
1,21,3,1,6,2,7,4,5,,,,,,,,,,,,,,
1,22,5,1,6,3,4,7,2,,,,,,,,,,,,,,
1,23,5,1,6,3,2,7,4,,,,,,,,,,,,,,
1,24,3,1,4,6,,5,2,,,,,,,,,,,,,,
1,25,,1,4,3,6,5,2,,,,,,,,,,,,,,
1,26,,1,4,2,6,5,3,,,,,,,,,,,,,,
1,27,5,1,7,2,3,6,4,,,,,,,,,,,,,,
1,28,4,1,5,3,7,6,2,,,,,,,,,,,,,,
1,29,2,1,3,4,5,6,7,,,,,,,,,,,,,,
1,30,2,1,5,3,4,6,,,,,,,,,,,,,,,
1,31,3,1,4,6,,5,2,,,,,,,,,,,,,,
1,32,4,1,7,2,3,6,5,,,,,,,,,,,,,,
1,33,4,1,6,2,,5,3,,,,,,,,,,,,,,
1,34,5,3,1,6,2,4,7,,,,,,,,,,,,,,
1,35,3,3,6,2,1,4,5,,,,,,,,,,,,,,
1,36,6,2,5,3,1,4,,,,,,,,,,,,,,,
1,37,5,2,3,6,1,4,,,,,,,,,,,,,,,
1,38,4,2,5,6,1,3,5,,,,,,,,,,,,,,
1,39,5,,6,2,1,3,4,,,,,,,,,,,,,,
1,40,4,3,5,7,1,2,6,,,,,,,,,,,,,,
1,41,5,3,6,4,1,2,7,,,,,,,,,,,,,,
1,42,6,2,5,4,3,1,7,,,,,,,,,,,,,,
1,43,,,,,,,,9,10,1,2,7,8,5,6,11,12,13,14,3,4
1,44,,,,,,,,9,10,1,4,7,8,2,3,,,11,12,5,6
1,45,,,,,,,,,,1,4,,,2,5,,,,,3,6
1,46,,,,,,,,7,8,1,6,9,10,4,5,13,14,11,12,2,3
1,47,4,2,5,1,,6,3,7,8,2,6,10,11,1,4,,,9,12,3,5
1,48,4,7,5,1,2,3,6,10,5,,12,11,4,1,3,7,,8,6,2,9
1,49,,,,,,,,7,8,3,5,8,7,1,2,6,4,10,9,12,11
1,50,3,2,5,7,4,1,6,7,8,3,4,9,10,,,6,5,2,1,11,12
2,1,4,2,3,5,6,,1,,,,,,,,,,,,,,
2,2,4,6,3,2,,5,1,,,,,,,,,,,,,,
2,3,5,2,3,4,6,,1,,,,,,,,,,,,,,
2,4,4,3,5,2,7,6,1,,,,,,,,,,,,,,
2,5,4,7,3,2,5,6,1,,,,,,,,,,,,,,
2,6,2,3,4,6,,5,1,,,,,,,,,,,,,,
2,7,5,6,7,3,4,2,1,,,,,,,,,,,,,,
2,8,4,2,6,3,5,,1,,,,,,,,,,,,,,
2,9,3,5,4,2,7,6,1,,,,,,,,,,,,,,
2,10,,2,5,1,4,6,3,,,,,,,,,,,,,,
2,11,5,2,4,1,6,,3,,,,,,,,,,,,,,
2,12,5,3,4,1,7,6,2,,,,,,,,,,,,,,
